aanwezige_transportcapaciteit_afname;benodigde_transportcapaciteit_afname;voorspelde_capaciteit_afname;wachtrij_afname;unieke_verzoeken_afname;afname_beperking;afname_tso_limiet;aanwezige_transportcapaciteit_invoeding;benodigde_transportcapaciteit_invoeding;voorspelde_capaciteit_invoeding;wachtrij_invoeding;unieke_verzoeken_invoeding;opwek_beperking;opwek_tso_limiet;start;eind;jaar;kwartaal;info;congestiegebied;jaartal_opgelost_afname;jaartal_opgelost_invoeding;congestie_url
742,0;554,0;;930,0;5,0;;;376,0;447,0;;774,0;4,0;;;;;2027,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Groningen West;2035,0;2035,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-groningen
716,0;723,0;;1301,0;11,0;;;;;;;;;;;;2026,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Haven van Rotterdam;2032,0;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-zuid-holland
4500,0;2208,0;;1793,0;10,0;;;;;;;;;;;;2035,0;;;Limburg;2034,0;2034,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-limburg
742,0;590,0;;930,0;5,0;;;376,0;472,0;;774,0;4,0;;;;;2028,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Groningen West;2035,0;2035,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-groningen
370,0;213,0;;20,0;;;;370,0;227,0;;;;;;;;2027,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Eemshaven Midden;2033,0;2037,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-groningen
3900,0;3560,0;;2517,0;22,0;;;2789,0;2216,0;;1994,0;13,0;;;;;2031,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Noord-Brabant;2036,0;2036,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-noord-brabant
3900,0;3692,0;;2517,0;22,0;;;2789,0;2309,0;;1994,0;13,0;;;;;2032,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Noord-Brabant;2036,0;2036,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-noord-brabant
;;;;;;;1146,0;975,0;;219,0;;;;;;2032,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Friesland;;2033,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-friesland
;;;;;;;700,0;264,0;;;;;;;;2035,0;;;Groningen Oost;;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-groningen
;;;;;;;700,0;281,0;;;;;;;;2030,0;;;Groningen Oost;;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-groningen
;;;;;;;509,0;778,0;;1304,0;7,0;;;;;2026,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Drenthe;;2034,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-drenthe
3000,0;3877,0;;1339,0;9,0;;;2613,0;4062,0;;1538,0;9,0;;;;;2029,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Flevopolder, Utrecht en Gelderland;2035,0;2035,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-gelderland 
;;;;;;;700,0;269,0;;;;;;;;2028,0;;;Groningen Oost;;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-groningen
1800,0;1882,0;;1793,0;10,0;;;1260,0;1312,0;;1913,0;9,0;;;;;2029,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Limburg;2034,0;2034,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-limburg
2319,0;2418,0;;910,0;7,0;;;;;;;;;;;;2027,0;;;Noordelijk Zuid-Holland;2034,0;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-zuid-holland
777,0;785,0;;1301,0;11,0;;;;;;;;;;;;2027,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Haven van Rotterdam;2032,0;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-zuid-holland
740,0;375,0;;20,0;;;;370,0;233,0;;;;;;;;2033,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Eemshaven Midden;2033,0;2037,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-groningen
;;;;;;;1069,0;922,0;;219,0;;;;;;2029,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Friesland;;2033,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-friesland
