tennet_id;congestiegebied_afname;congestiegebied_opwek;afname;opwek
Station Lelystad 150 (CBL);Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3
Station Lemmer 110;Friesland;Friesland;1;3
Station Limmel 150 kV;Limburg;Limburg;3;3
Station Lochem 150;Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3
Station Losser 110 kV;Overijssel;Hengelo;3;3
Station Louwsmeer 110;Friesland;Friesland;1;3
Station Luttelgeest Kalenbergerweg 110kV;Noordoostpolder;Noordoostpolder;0;1
Station Lutterade 150 kV;Limburg;Limburg;3;3
Station Maalbroek 150 kV;Limburg;Limburg;3;3
Station Maarheeze 150 kV;Noord-Brabant;Noord-Brabant;3;3
Station Maasbracht 150 kV;Limburg;Limburg;3;3
Station Maasvlakte 150;Maasvlakte;Maasvlakte;1;0
Station Almere Markerkant 150 (CBL);Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3
Station Marnezijl 110;Friesland;Friesland;1;3
Station Marsdijk 110 kV;Drenthe;Drenthe;1;3
Station Meeden 110 kV;Groningen Oost;Groningen Oost;1;0
Station Meeden 220;Groningen 220/20;Groningen 220/20;0;1
Station Meppel 110 kV;Overijssel;Zwolle Hessenweg;3;3
Station Merseyweg 150;Haven van Rotterdam;Haven van Rotterdam;3;0
Station Merum 150 kV;Limburg;Limburg;3;3
Station Middelburg 150;Zeeland;Zeeland;3;0
Station Middelharnis 150;Haven van Rotterdam;Haven van Rotterdam;3;0
Station Middenmeer 150;Noord-Holland;Noord-Holland Noord;3;3
Station Moerdijk 150 kV;Noord-Brabant;Noord-Brabant;3;3
Station Musselkanaal Zandberg 110 kV;Drenthe;Drenthe;1;3
Station Nederweert 150 kV;Limburg;Limburg;3;3
Station Nieuwe Meer 150;Noord-Holland;Noord-Holland;3;0
Station Nieuwegein 150;Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3
Station Nijmegen 150;Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3
Station Nijverdal 110 kV;Overijssel;Zwolle Hessenweg;3;3
